"","year_quarter","fed_funds_rate","r_star","HAWK","HAWK_IV","core_inflation","consumption","expected_inflation","expected_unemployment","expected_cpi_inflation","expected_gap","expected_nairu","row_number","dR","demeaned_HAWK","demeaned_HAWK_IV","stance","expected_unemployment_gap","log_consumption","delta_log_consumption","delta_expected_inflation","delta_expected_unemployment_gap","delta_expected_cpi_inflation","delta_expected_gap"
"1",1968 Q1,4.79263736263736,4.92571679294855,-0.25,-0.5,8.52901638473913,15076,3.15,3.7,NA,NA,5.807345,1,-0.133079430311187,-0.275,-0.845188679245283,FALSE,-2.107345,9.62085935438703,NA,NA,NA,NA,NA
"2",1968 Q2,5.98428571428571,5.01264278326507,0.13,0.48,9.38819405481484,15271,3.15,3.7,NA,NA,5.824373,2,0.971642931020644,0.105,0.134811320754717,TRUE,-2.124373,9.63371088395318,0.0128515295661558,0,-0.0170279999999998,NA,NA
"3",1968 Q3,5.94652173913043,4.9254102028778,-0.08,0.01,10.1064583138155,15515,3.15,3.7,NA,NA,5.852243,3,1.02111153625263,-0.105,-0.335188679245283,TRUE,-2.152243,9.64956257688248,0.0158516929292993,0,-0.0278700000000001,NA,NA
"4",1968 Q4,5.91815217391304,4.81751520444679,0.01,0.26,10.7352234959781,15543,3.35,3.9,NA,NA,5.834351,4,1.10063696946625,-0.015,-0.085188679245283,TRUE,-1.934351,9.6513656554829,0.00180307860041751,0.2,0.217892,NA,NA
"5",1969 Q1,6.56744444444444,4.94450659343871,0.08,0.49,11.5205639723508,15683,4.1,3.75,NA,NA,5.816701,5,1.62293785100573,0.055,0.144811320754717,TRUE,-2.066701,9.66033260213442,0.00896694665152609,0.75,-0.13235,NA,NA
"6",1969 Q2,8.33252747252747,4.78846060787703,-0.22,-0.38,11.6996698699266,15748,4.21666666666667,3.73333333333333,NA,NA,5.828296,6,3.54406686465044,-0.245,-0.725188679245283,TRUE,-2.09496266666667,9.66446865206363,0.00413604992920291,0.116666666666667,-0.0282616666666664,NA,NA
"7",1969 Q3,8.98108695652174,4.74352441469136,-0.14,-0.38,12.0594267230873,15780,3.63333333333333,4,NA,NA,5.887989,7,4.23756254183038,-0.165,-0.725188679245283,TRUE,-1.887989,9.66649859439987,0.00202994233623777,-0.583333333333333,0.206973666666666,NA,NA
"8",1969 Q4,8.94163043478261,4.47520422384508,-0.21,-0.38,12.3604747785312,15860,3.4875,4.3375,NA,NA,5.886437,8,4.46642621093753,-0.235,-0.725188679245283,TRUE,-1.548937,9.67155549518884,0.00505690078897381,-0.145833333333333,0.339052,NA,NA
"9",1970 Q1,8.55888888888889,4.3328571646392,-0.21,-0.38,13.0209727893284,15919,3.95,4.68333333333333,NA,NA,5.945694,9,4.22603172424969,-0.235,-0.725188679245283,TRUE,-1.26236066666667,9.67526864335514,0.00371314816629642,0.4625,0.286576333333334,NA,NA
"10",1970 Q2,7.8832967032967,4.25579039041911,0,-0.13,13.3810886184015,15942,3.825,5.0375,NA,NA,5.981326,10,3.62750631287759,-0.025,-0.475188679245283,TRUE,-0.943826,9.67671241498787,0.0014437716327329,-0.125,0.318534666666666,NA,NA
