var_1,var_2,value,model,horizon
(Intercept),(Intercept),0.0387586764364283,long,0
(Intercept),expected_inflation,-0.004584418770679682,long,0
(Intercept),demeaned_HAWK,-0.05087657863637153,long,0
(Intercept),expected_unemployment_gap,0.0024649719895682774,long,0
(Intercept),"lag(dR, 1)",-7.94357482156636e-4,long,0
(Intercept),"lag(dR, 2)",0.002282674443041276,long,0
(Intercept),"lag(dR, 3)",0.0016295480557594164,long,0
(Intercept),"lag(dR, 4)",0.001362053482041286,long,0
(Intercept),"lag(expected_inflation, 1)",0.005972592436192465,long,0
(Intercept),"lag(expected_inflation, 2)",-0.00425737739061762,long,0
(Intercept),"lag(expected_inflation, 3)",-0.01115194964848047,long,0
(Intercept),"lag(expected_inflation, 4)",-0.005194946507328263,long,0
(Intercept),"lag(expected_unemployment_gap, 1)",-0.010352326401275347,long,0
(Intercept),"lag(expected_unemployment_gap, 2)",0.01731591244492044,long,0
(Intercept),"lag(expected_unemployment_gap, 3)",-0.004463728024855144,long,0
(Intercept),"lag(expected_unemployment_gap, 4)",-0.004108458278172657,long,0
(Intercept),expected_inflation:demeaned_HAWK,0.03545435341287377,long,0
(Intercept),demeaned_HAWK:expected_unemployment_gap,0.0031279261843545703,long,0
expected_inflation,(Intercept),-0.00458441877067955,long,0
expected_inflation,expected_inflation,0.023646225401499063,long,0
expected_inflation,demeaned_HAWK,0.03825608254678583,long,0
expected_inflation,expected_unemployment_gap,0.019596581057852613,long,0
expected_inflation,"lag(dR, 1)",0.006592413138129736,long,0
expected_inflation,"lag(dR, 2)",-0.010674367396614539,long,0
expected_inflation,"lag(dR, 3)",0.008782307546609499,long,0
expected_inflation,"lag(dR, 4)",-0.006801204444186185,long,0
expected_inflation,"lag(expected_inflation, 1)",-0.0252017305669676,long,0
expected_inflation,"lag(expected_inflation, 2)",0.004152222583265673,long,0
expected_inflation,"lag(expected_inflation, 3)",7.429620127689916e-4,long,0
expected_inflation,"lag(expected_inflation, 4)",7.188546407002164e-4,long,0
expected_inflation,"lag(expected_unemployment_gap, 1)",-0.01846959773209803,long,0
expected_inflation,"lag(expected_unemployment_gap, 2)",-0.013751612375133587,long,0
expected_inflation,"lag(expected_unemployment_gap, 3)",0.0407119541813654,long,0
expected_inflation,"lag(expected_unemployment_gap, 4)",-0.023075664303356697,long,0
